Cast Vote Record,Precinct,Ballot Style,Rep. to Congress District 2 1st Choice,Rep. to Congress District 2 2nd Choice,Rep. to Congress District 2 3rd Choice,Rep. to Congress District 2 4th Choice,Rep. to Congress District 2 5th Choice
604,997,997,"REP Poliquin, Bruce",undervote,undervote,undervote,undervote
605,997,997,"DEM Golden, Jared F.","Bond, Tiffany L.",undervote,undervote,undervote
606,997,997,"DEM Golden, Jared F.","Bond, Tiffany L.",undervote,undervote,undervote
607,997,997,"Bond, Tiffany L.","DEM Golden, Jared F.","Hoar, William R.S.","REP Poliquin, Bruce",undervote
608,997,997,"DEM Golden, Jared F.",undervote,"Bond, Tiffany L.",undervote,undervote
609,997,997,"DEM Golden, Jared F.",undervote,undervote,undervote,undervote
610,997,997,"DEM Golden, Jared F.","Hoar, William R.S.",undervote,undervote,undervote
611,997,997,"DEM Golden, Jared F.","Bond, Tiffany L.","Hoar, William R.S.","REP Poliquin, Bruce",undervote
612,997,997,"DEM Golden, Jared F.","Bond, Tiffany L.","Hoar, William R.S.",undervote,undervote
613,997,997,"DEM Golden, Jared F.","Bond, Tiffany L.","Hoar, William R.S.",undervote,undervote
614,997,997,"DEM Golden, Jared F.","Bond, Tiffany L.","Hoar, William R.S.","REP Poliquin, Bruce",undervote
615,997,997,"DEM Golden, Jared F.",undervote,undervote,undervote,undervote
616,997,997,"DEM Golden, Jared F.","Bond, Tiffany L.","Hoar, William R.S.",undervote,undervote
617,997,997,"DEM Golden, Jared F.",undervote,undervote,undervote,undervote
618,997,997,"DEM Golden, Jared F.",undervote,undervote,undervote,undervote
619,997,997,"Hoar, William R.S.","DEM Golden, Jared F.","Bond, Tiffany L.","REP Poliquin, Bruce",undervote
620,997,997,"Hoar, William R.S.","DEM Golden, Jared F.","Bond, Tiffany L.",undervote,undervote
621,997,997,"DEM Golden, Jared F.",undervote,undervote,undervote,undervote
622,997,997,"REP Poliquin, Bruce","Hoar, William R.S.","Bond, Tiffany L.","DEM Golden, Jared F.",undervote
623,997,997,"DEM Golden, Jared F.","Hoar, William R.S.","Bond, Tiffany L.",undervote,undervote
624,997,997,"DEM Golden, Jared F.","Bond, Tiffany L.","Hoar, William R.S.",undervote,undervote
625,997,997,"DEM Golden, Jared F.","Bond, Tiffany L.","Hoar, William R.S.",undervote,undervote
626,997,997,"Hoar, William R.S.","DEM Golden, Jared F.","Bond, Tiffany L.",undervote,undervote
627,997,997,"REP Poliquin, Bruce","Hoar, William R.S.","Bond, Tiffany L.","DEM Golden, Jared F.",undervote
628,997,997,"DEM Golden, Jared F.","Bond, Tiffany L.","Hoar, William R.S.","REP Poliquin, Bruce",undervote
629,997,997,"DEM Golden, Jared F.","Hoar, William R.S.",undervote,undervote,undervote
630,997,997,"DEM Golden, Jared F.","Bond, Tiffany L.","Hoar, William R.S.",undervote,undervote
631,997,997,"DEM Golden, Jared F.",undervote,undervote,undervote,undervote
632,997,997,"DEM Golden, Jared F.",undervote,undervote,undervote,undervote
633,997,997,"DEM Golden, Jared F.","Hoar, William R.S.",undervote,undervote,undervote
634,997,997,"REP Poliquin, Bruce","Hoar, William R.S.","Bond, Tiffany L.","DEM Golden, Jared F.",undervote
635,997,997,"DEM Golden, Jared F.",undervote,undervote,undervote,undervote
636,997,997,"DEM Golden, Jared F.",undervote,undervote,undervote,undervote
637,997,997,"DEM Golden, Jared F.","Bond, Tiffany L.","Hoar, William R.S.","REP Poliquin, Bruce",undervote
638,997,997,"DEM Golden, Jared F.",undervote,undervote,undervote,undervote
639,997,997,"REP Poliquin, Bruce","DEM Golden, Jared F.",undervote,undervote,undervote
640,997,997,"DEM Golden, Jared F.",undervote,undervote,undervote,undervote
641,997,997,"REP Poliquin, Bruce","Bond, Tiffany L.","Hoar, William R.S.",undervote,undervote
642,997,997,"DEM Golden, Jared F.",undervote,undervote,undervote,undervote
643,997,997,"DEM Golden, Jared F.","Bond, Tiffany L.",undervote,undervote,undervote
644,997,997,"DEM Golden, Jared F.",undervote,undervote,undervote,undervote
645,997,997,"DEM Golden, Jared F.",undervote,undervote,undervote,undervote
646,997,997,"DEM Golden, Jared F.","Hoar, William R.S.","Bond, Tiffany L.",undervote,undervote
647,997,997,"REP Poliquin, Bruce","Hoar, William R.S.","Bond, Tiffany L.","DEM Golden, Jared F.",undervote
648,997,997,"DEM Golden, Jared F.","Bond, Tiffany L.","Hoar, William R.S.","REP Poliquin, Bruce",undervote
649,997,997,"REP Poliquin, Bruce","Bond, Tiffany L.",undervote,"Hoar, William R.S.","DEM Golden, Jared F."
650,997,997,"DEM Golden, Jared F.",undervote,undervote,undervote,undervote
651,997,997,"DEM Golden, Jared F.","Bond, Tiffany L.",undervote,undervote,undervote
652,997,997,"Bond, Tiffany L.","DEM Golden, Jared F.","Hoar, William R.S.",undervote,undervote
653,997,997,"DEM Golden, Jared F.","Hoar, William R.S.",undervote,undervote,undervote
654,997,997,"DEM Golden, Jared F.",undervote,undervote,undervote,undervote
655,997,997,"DEM Golden, Jared F.","Bond, Tiffany L.",undervote,"REP Poliquin, Bruce","REP Poliquin, Bruce"
656,997,997,"DEM Golden, Jared F.","Bond, Tiffany L.","Hoar, William R.S.","REP Poliquin, Bruce",undervote
657,997,997,"DEM Golden, Jared F.","Bond, Tiffany L.","Hoar, William R.S.",undervote,undervote
658,997,997,"DEM Golden, Jared F.","Bond, Tiffany L.",undervote,undervote,undervote
659,997,997,"DEM Golden, Jared F.","Bond, Tiffany L.",undervote,undervote,undervote
660,997,997,"DEM Golden, Jared F.",undervote,undervote,undervote,undervote
661,997,997,"DEM Golden, Jared F.","Bond, Tiffany L.","Hoar, William R.S.","REP Poliquin, Bruce",undervote
662,997,997,"DEM Golden, Jared F.","Bond, Tiffany L.","Hoar, William R.S.","REP Poliquin, Bruce",undervote
663,997,997,"DEM Golden, Jared F.","Bond, Tiffany L.",undervote,undervote,undervote
664,997,997,"DEM Golden, Jared F.","Bond, Tiffany L.",undervote,undervote,undervote
665,997,997,"DEM Golden, Jared F.",undervote,undervote,undervote,undervote
666,997,997,"REP Poliquin, Bruce",undervote,undervote,undervote,undervote
667,997,997,"DEM Golden, Jared F.","Bond, Tiffany L.","Hoar, William R.S.",undervote,undervote
668,997,997,"DEM Golden, Jared F.","Bond, Tiffany L.","Hoar, William R.S.",undervote,undervote
669,997,997,"DEM Golden, Jared F.",undervote,undervote,undervote,undervote
670,997,997,"DEM Golden, Jared F.","Bond, Tiffany L.","Hoar, William R.S.",undervote,undervote
671,997,997,"DEM Golden, Jared F.","Hoar, William R.S.",undervote,undervote,undervote
672,997,997,"DEM Golden, Jared F.",undervote,undervote,undervote,undervote
673,997,997,"DEM Golden, Jared F.",undervote,undervote,undervote,undervote
674,997,997,"DEM Golden, Jared F.","Bond, Tiffany L.",undervote,undervote,undervote
675,997,997,"DEM Golden, Jared F.","Bond, Tiffany L.",undervote,undervote,undervote
676,997,997,"DEM Golden, Jared F.",undervote,undervote,undervote,undervote
677,997,997,"DEM Golden, Jared F.",undervote,undervote,undervote,undervote
678,997,997,"DEM Golden, Jared F.","Bond, Tiffany L.",undervote,undervote,undervote
679,997,997,"DEM Golden, Jared F.",undervote,undervote,undervote,undervote
680,997,997,"REP Poliquin, Bruce","Hoar, William R.S.","Bond, Tiffany L.",undervote,undervote
681,997,997,"DEM Golden, Jared F.","Bond, Tiffany L.","Hoar, William R.S.",undervote,undervote
682,997,997,"DEM Golden, Jared F.","Bond, Tiffany L.",undervote,undervote,undervote
683,997,997,"DEM Golden, Jared F.","Bond, Tiffany L.","Hoar, William R.S.",undervote,undervote
684,997,997,"DEM Golden, Jared F.","Bond, Tiffany L.","Hoar, William R.S.",undervote,undervote
685,997,997,"DEM Golden, Jared F.","Bond, Tiffany L.","Hoar, William R.S.","REP Poliquin, Bruce",undervote
686,997,997,"DEM Golden, Jared F.","Bond, Tiffany L.","Hoar, William R.S.","REP Poliquin, Bruce",undervote
