Cast Vote Record,Precinct,Ballot Style,Rep. to Congress 1st Choice District 2,Rep. to Congress 2nd Choice District 2,Rep. to Congress 3rd Choice District 2,Rep. to Congress 4th Choice District 2,Rep. to Congress 5th Choice District 2
3023,Blue Hill,CAN Ballot Style 53,undervote,"DEM Golden, Jared F.",undervote,undervote,undervote
3028,Blue Hill,CAN Ballot Style 53,"DEM Golden, Jared F. (5471)","Hoar, William R.S.","REP Poliquin, Bruce",undervote,undervote
3035,Blue Hill,CAN Ballot Style 53,"DEM Golden, Jared F. (5471)",undervote,undervote,undervote,undervote
3038,Blue Hill,CAN Ballot Style 53,"DEM Golden, Jared F. (5471)",undervote,undervote,undervote,undervote
3039,Blue Hill,CAN Ballot Style 53,"REP Poliquin, Bruce (5931)",undervote,undervote,undervote,undervote
3041,Blue Hill,CAN Ballot Style 53,"DEM Golden, Jared F. (5471)","Bond, Tiffany L.","Hoar, William R.S.",undervote,undervote
3042,Blue Hill,CAN Ballot Style 53,"DEM Golden, Jared F. (5471)",undervote,undervote,undervote,undervote
3045,Blue Hill,CAN Ballot Style 53,"REP Poliquin, Bruce (5931)",undervote,undervote,undervote,undervote
3047,Blue Hill,CAN Ballot Style 53,"DEM Golden, Jared F. (5471)","Bond, Tiffany L.","Hoar, William R.S.","REP Poliquin, Bruce",undervote
3049,Blue Hill,CAN Ballot Style 53,"DEM Golden, Jared F. (5471)","Bond, Tiffany L.","Hoar, William R.S.",undervote,undervote
3052,Blue Hill,CAN Ballot Style 53,"Bond, Tiffany L.","DEM Golden, Jared F.","Hoar, William R.S.","REP Poliquin, Bruce",undervote
3055,Blue Hill,CAN Ballot Style 53,"DEM Golden, Jared F. (5471)","Bond, Tiffany L.","Hoar, William R.S.","REP Poliquin, Bruce",undervote
3058,Blue Hill,CAN Ballot Style 53,"REP Poliquin, Bruce (5931)","Bond, Tiffany L.","Hoar, William R.S.","DEM Golden, Jared F.",undervote
3059,Blue Hill,CAN Ballot Style 53,"DEM Golden, Jared F. (5471)","Bond, Tiffany L.","Hoar, William R.S.",undervote,undervote
3060,Blue Hill,CAN Ballot Style 53,"DEM Golden, Jared F. (5471)","Hoar, William R.S.","Bond, Tiffany L.",undervote,undervote
3061,Blue Hill,CAN Ballot Style 53,"DEM Golden, Jared F. (5471)","Bond, Tiffany L.","Hoar, William R.S.",undervote,undervote
3062,Blue Hill,CAN Ballot Style 53,"REP Poliquin, Bruce (5931)",undervote,undervote,undervote,undervote
3063,Blue Hill,CAN Ballot Style 53,"REP Poliquin, Bruce (5931)",undervote,undervote,undervote,undervote
3064,Blue Hill,CAN Ballot Style 53,"REP Poliquin, Bruce (5931)",undervote,undervote,undervote,undervote
3065,Blue Hill,CAN Ballot Style 53,"DEM Golden, Jared F. (5471)","Bond, Tiffany L.","Hoar, William R.S.","REP Poliquin, Bruce",undervote
3066,Blue Hill,CAN Ballot Style 53,"DEM Golden, Jared F. (5471)","Hoar, William R.S.","REP Poliquin, Bruce","Hoar, William R.S.","REP Poliquin, Bruce"
3067,Blue Hill,CAN Ballot Style 53,"Bond, Tiffany L.","Hoar, William R.S.",undervote,undervote,undervote
3068,Blue Hill,CAN Ballot Style 53,"DEM Golden, Jared F. (5471)","Bond, Tiffany L.",undervote,undervote,undervote
