Cast Vote Record,Precinct,Ballot Style,Rep. to Congress 1st Choice District 2,Rep. to Congress 2nd Choice District 2,Rep. to Congress 3rd Choice District 2,Rep. to Congress 4th Choice District 2,Rep. to Congress 5th Choice District 2
6027,Otis,CAN Ballot Style 212,"REP Poliquin, Bruce (5931)",undervote,undervote,undervote,undervote
6030,Otis,CAN Ballot Style 212,"DEM Golden, Jared F. (5471)","Hoar, William R.S.","Bond, Tiffany L.","REP Poliquin, Bruce",undervote
6031,Otis,CAN Ballot Style 212,"REP Poliquin, Bruce (5931)","Bond, Tiffany L.","Hoar, William R.S.","DEM Golden, Jared F.",undervote
6032,Otis,CAN Ballot Style 212,"REP Poliquin, Bruce (5931)","Bond, Tiffany L.",undervote,undervote,"DEM Golden, Jared F."
6033,Otis,CAN Ballot Style 212,"REP Poliquin, Bruce (5931)",undervote,undervote,undervote,undervote
6036,Otis,CAN Ballot Style 212,"REP Poliquin, Bruce (5931)",undervote,undervote,undervote,undervote
6044,Otis,CAN Ballot Style 212,"REP Poliquin, Bruce (5931)",undervote,undervote,undervote,undervote
6046,Otis,CAN Ballot Style 212,"REP Poliquin, Bruce (5931)",undervote,undervote,undervote,undervote
6048,Otis,CAN Ballot Style 212,"DEM Golden, Jared F. (5471)","Bond, Tiffany L.","Hoar, William R.S.",undervote,undervote
6049,Otis,CAN Ballot Style 212,"REP Poliquin, Bruce (5931)",undervote,undervote,undervote,undervote
6050,Otis,CAN Ballot Style 212,"DEM Golden, Jared F. (5471)","REP Poliquin, Bruce","Bond, Tiffany L.","Hoar, William R.S.",undervote
6051,Otis,CAN Ballot Style 212,"Hoar, William R.S.",undervote,undervote,undervote,undervote
6052,Otis,CAN Ballot Style 212,"REP Poliquin, Bruce (5931)",undervote,undervote,undervote,undervote
6055,Otis,CAN Ballot Style 212,"REP Poliquin, Bruce (5931)",undervote,undervote,undervote,undervote
6056,Otis,CAN Ballot Style 212,"DEM Golden, Jared F. (5471)",undervote,undervote,"REP Poliquin, Bruce",undervote
6058,Otis,CAN Ballot Style 212,"REP Poliquin, Bruce (5931)",undervote,undervote,undervote,undervote
6060,Otis,CAN Ballot Style 212,"REP Poliquin, Bruce (5931)","Hoar, William R.S.","Bond, Tiffany L.","DEM Golden, Jared F.",undervote
6061,Otis,CAN Ballot Style 212,"DEM Golden, Jared F. (5471)","Bond, Tiffany L.","Hoar, William R.S.",undervote,undervote
6062,Otis,CAN Ballot Style 212,"REP Poliquin, Bruce (5931)",undervote,undervote,undervote,undervote
6063,Otis,CAN Ballot Style 212,"REP Poliquin, Bruce (5931)",undervote,undervote,undervote,undervote
6066,Otis,CAN Ballot Style 212,"REP Poliquin, Bruce (5931)",undervote,undervote,undervote,undervote
6068,Otis,CAN Ballot Style 212,"REP Poliquin, Bruce (5931)",undervote,undervote,undervote,undervote
6069,Otis,CAN Ballot Style 212,"Bond, Tiffany L.",undervote,undervote,undervote,undervote
6070,Otis,CAN Ballot Style 212,"DEM Golden, Jared F. (5471)","Bond, Tiffany L.","Hoar, William R.S.","REP Poliquin, Bruce",undervote
6071,Otis,CAN Ballot Style 212,"DEM Golden, Jared F. (5471)","Bond, Tiffany L.","Hoar, William R.S.",undervote,undervote
6072,Otis,CAN Ballot Style 212,"REP Poliquin, Bruce (5931)","Bond, Tiffany L.","Hoar, William R.S.",undervote,undervote
6075,Otis,CAN Ballot Style 212,"REP Poliquin, Bruce (5931)",undervote,undervote,undervote,undervote
6076,Otis,CAN Ballot Style 212,"DEM Golden, Jared F. (5471)","Bond, Tiffany L.","Hoar, William R.S.",undervote,undervote
6078,Otis,CAN Ballot Style 212,"DEM Golden, Jared F. (5471)","REP Poliquin, Bruce",undervote,undervote,undervote
6083,Otis,CAN Ballot Style 212,"DEM Golden, Jared F. (5471)",undervote,undervote,undervote,undervote
6084,Otis,CAN Ballot Style 212,"REP Poliquin, Bruce (5931)","Hoar, William R.S.","Bond, Tiffany L.","DEM Golden, Jared F.",undervote
6086,Otis,CAN Ballot Style 212,"REP Poliquin, Bruce (5931)",undervote,undervote,undervote,undervote
6088,Otis,CAN Ballot Style 212,"DEM Golden, Jared F. (5471)",undervote,undervote,undervote,undervote
6089,Otis,CAN Ballot Style 212,"REP Poliquin, Bruce (5931)","Hoar, William R.S.","Bond, Tiffany L.","DEM Golden, Jared F.",undervote
6091,Otis,CAN Ballot Style 212,"DEM Golden, Jared F. (5471)","Hoar, William R.S.","Bond, Tiffany L.","REP Poliquin, Bruce",undervote
6092,Otis,CAN Ballot Style 212,"REP Poliquin, Bruce (5931)",undervote,undervote,undervote,undervote
6093,Otis,CAN Ballot Style 212,"DEM Golden, Jared F. (5471)",undervote,undervote,undervote,undervote
6095,Otis,CAN Ballot Style 212,"REP Poliquin, Bruce (5931)",undervote,undervote,undervote,undervote
6097,Otis,CAN Ballot Style 212,"REP Poliquin, Bruce (5931)",undervote,undervote,undervote,undervote
6098,Otis,CAN Ballot Style 212,"DEM Golden, Jared F. (5471)",undervote,undervote,undervote,undervote
6101,Otis,CAN Ballot Style 212,"REP Poliquin, Bruce (5931)",undervote,undervote,undervote,undervote
6104,Otis,CAN Ballot Style 212,"REP Poliquin, Bruce (5931)","Bond, Tiffany L.","Hoar, William R.S.",undervote,"DEM Golden, Jared F."
6105,Otis,CAN Ballot Style 212,"REP Poliquin, Bruce (5931)","Bond, Tiffany L.",undervote,undervote,undervote
6107,Otis,CAN Ballot Style 212,"DEM Golden, Jared F. (5471)",undervote,undervote,undervote,undervote
6108,Otis,CAN Ballot Style 212,"DEM Golden, Jared F. (5471)",undervote,undervote,undervote,undervote
6109,Otis,CAN Ballot Style 212,"REP Poliquin, Bruce (5931)","Hoar, William R.S.","Bond, Tiffany L.",undervote,"DEM Golden, Jared F."
6110,Otis,CAN Ballot Style 212,"REP Poliquin, Bruce (5931)",undervote,undervote,undervote,undervote
6112,Otis,CAN Ballot Style 212,"DEM Golden, Jared F. (5471)","Bond, Tiffany L.","Hoar, William R.S.","REP Poliquin, Bruce",undervote
6114,Otis,CAN Ballot Style 212,"DEM Golden, Jared F. (5471)","Hoar, William R.S.","Bond, Tiffany L.","REP Poliquin, Bruce",undervote
6115,Otis,CAN Ballot Style 212,"DEM Golden, Jared F. (5471)",undervote,undervote,undervote,undervote
6116,Otis,CAN Ballot Style 212,"REP Poliquin, Bruce (5931)",undervote,undervote,undervote,undervote
6118,Otis,CAN Ballot Style 212,"REP Poliquin, Bruce (5931)","Hoar, William R.S.",undervote,undervote,undervote
6119,Otis,CAN Ballot Style 212,"REP Poliquin, Bruce (5931)","DEM Golden, Jared F.",undervote,undervote,undervote
6120,Otis,CAN Ballot Style 212,"DEM Golden, Jared F. (5471)","Bond, Tiffany L.","Hoar, William R.S.","REP Poliquin, Bruce",undervote
6123,Otis,CAN Ballot Style 212,"DEM Golden, Jared F. (5471)",undervote,undervote,undervote,undervote
6124,Otis,CAN Ballot Style 212,"REP Poliquin, Bruce (5931)","Hoar, William R.S.",undervote,undervote,undervote
6125,Otis,CAN Ballot Style 212,"DEM Golden, Jared F. (5471)",undervote,undervote,undervote,undervote
6126,Otis,CAN Ballot Style 212,"REP Poliquin, Bruce (5931)",undervote,undervote,undervote,undervote
6133,Otis,CAN Ballot Style 212,"REP Poliquin, Bruce (5931)",undervote,undervote,undervote,undervote
6134,Otis,CAN Ballot Style 212,"DEM Golden, Jared F. (5471)",undervote,undervote,undervote,undervote
6136,Otis,CAN Ballot Style 212,"REP Poliquin, Bruce (5931)",undervote,undervote,undervote,undervote
6137,Otis,CAN Ballot Style 212,"REP Poliquin, Bruce (5931)",undervote,undervote,undervote,undervote
6139,Otis,CAN Ballot Style 212,"REP Poliquin, Bruce (5931)",undervote,undervote,undervote,undervote
6141,Otis,CAN Ballot Style 212,"DEM Golden, Jared F. (5471)",undervote,undervote,undervote,undervote
6143,Otis,CAN Ballot Style 212,"REP Poliquin, Bruce (5931)",undervote,undervote,undervote,"DEM Golden, Jared F."
6145,Otis,CAN Ballot Style 212,"REP Poliquin, Bruce (5931)",undervote,undervote,undervote,undervote
6154,Otis,CAN Ballot Style 212,"REP Poliquin, Bruce (5931)","Hoar, William R.S.","Bond, Tiffany L.","DEM Golden, Jared F.",undervote
6156,Otis,CAN Ballot Style 212,"REP Poliquin, Bruce (5931)",undervote,undervote,undervote,undervote
6157,Otis,CAN Ballot Style 212,"DEM Golden, Jared F. (5471)","Bond, Tiffany L.","Hoar, William R.S.","REP Poliquin, Bruce",undervote
6158,Otis,CAN Ballot Style 212,"DEM Golden, Jared F. (5471)",undervote,undervote,undervote,undervote
6160,Otis,CAN Ballot Style 212,"REP Poliquin, Bruce (5931)",undervote,undervote,undervote,undervote
6161,Otis,CAN Ballot Style 212,"REP Poliquin, Bruce (5931)",undervote,undervote,undervote,undervote
6163,Otis,CAN Ballot Style 212,"REP Poliquin, Bruce (5931)",undervote,undervote,undervote,undervote
6166,Otis,CAN Ballot Style 212,"REP Poliquin, Bruce (5931)","Hoar, William R.S.","Bond, Tiffany L.","DEM Golden, Jared F.",undervote
6168,Otis,CAN Ballot Style 212,"Hoar, William R.S.","Bond, Tiffany L.","REP Poliquin, Bruce","DEM Golden, Jared F.",undervote
6170,Otis,CAN Ballot Style 212,"Bond, Tiffany L.","DEM Golden, Jared F.",undervote,undervote,undervote
6174,Otis,CAN Ballot Style 212,"REP Poliquin, Bruce (5931)",undervote,undervote,undervote,undervote
6176,Otis,CAN Ballot Style 212,"REP Poliquin, Bruce (5931)",undervote,undervote,undervote,undervote
6179,Otis,CAN Ballot Style 212,"DEM Golden, Jared F. (5471)","Hoar, William R.S.","Bond, Tiffany L.",undervote,undervote
6180,Otis,CAN Ballot Style 212,"DEM Golden, Jared F. (5471)","Hoar, William R.S.","Bond, Tiffany L.",undervote,undervote
6182,Otis,CAN Ballot Style 212,"REP Poliquin, Bruce (5931)",undervote,undervote,undervote,undervote
6185,Otis,CAN Ballot Style 212,"REP Poliquin, Bruce (5931)",undervote,undervote,undervote,undervote
6187,Otis,CAN Ballot Style 212,"REP Poliquin, Bruce (5931)","REP Poliquin, Bruce","REP Poliquin, Bruce","REP Poliquin, Bruce","REP Poliquin, Bruce"
6191,Otis,CAN Ballot Style 212,"DEM Golden, Jared F. (5471)","Hoar, William R.S.","Bond, Tiffany L.","REP Poliquin, Bruce",undervote
6193,Otis,CAN Ballot Style 212,"REP Poliquin, Bruce (5931)","Hoar, William R.S.","Bond, Tiffany L.","DEM Golden, Jared F.",undervote
6195,Otis,CAN Ballot Style 212,"REP Poliquin, Bruce (5931)",undervote,undervote,undervote,undervote
6196,Otis,CAN Ballot Style 212,"DEM Golden, Jared F. (5471)",undervote,undervote,undervote,undervote
6197,Otis,CAN Ballot Style 212,"DEM Golden, Jared F. (5471)","Bond, Tiffany L.","Hoar, William R.S.",undervote,undervote
6199,Otis,CAN Ballot Style 212,"REP Poliquin, Bruce (5931)","Hoar, William R.S.",undervote,undervote,undervote
6203,Otis,CAN Ballot Style 212,"REP Poliquin, Bruce (5931)",undervote,undervote,undervote,undervote
6204,Otis,CAN Ballot Style 212,"REP Poliquin, Bruce (5931)",undervote,undervote,undervote,undervote
6206,Otis,CAN Ballot Style 212,"REP Poliquin, Bruce (5931)",undervote,undervote,undervote,undervote
6207,Otis,CAN Ballot Style 212,"REP Poliquin, Bruce (5931)","Bond, Tiffany L.","Hoar, William R.S.","DEM Golden, Jared F.",undervote
6212,Otis,CAN Ballot Style 212,"REP Poliquin, Bruce (5931)",undervote,undervote,undervote,undervote
6214,Otis,CAN Ballot Style 212,"REP Poliquin, Bruce (5931)",undervote,undervote,undervote,undervote
6215,Otis,CAN Ballot Style 212,"REP Poliquin, Bruce (5931)",undervote,undervote,undervote,undervote
6216,Otis,CAN Ballot Style 212,"DEM Golden, Jared F. (5471)",undervote,undervote,undervote,undervote
6217,Otis,CAN Ballot Style 212,"REP Poliquin, Bruce (5931)",undervote,undervote,undervote,undervote
6220,Otis,CAN Ballot Style 212,"REP Poliquin, Bruce (5931)",undervote,undervote,undervote,undervote
6221,Otis,CAN Ballot Style 212,"REP Poliquin, Bruce (5931)",undervote,undervote,undervote,undervote
6222,Otis,CAN Ballot Style 212,"Bond, Tiffany L.",undervote,undervote,undervote,undervote
6225,Otis,CAN Ballot Style 212,"Bond, Tiffany L.","Hoar, William R.S.","DEM Golden, Jared F.",undervote,undervote
6226,Otis,CAN Ballot Style 212,"DEM Golden, Jared F. (5471)","Bond, Tiffany L.",undervote,undervote,undervote
6231,Otis,CAN Ballot Style 212,"REP Poliquin, Bruce (5931)",undervote,undervote,undervote,undervote
6232,Otis,CAN Ballot Style 212,"REP Poliquin, Bruce (5931)",undervote,undervote,undervote,undervote
6233,Otis,CAN Ballot Style 212,"REP Poliquin, Bruce (5931)",undervote,undervote,undervote,undervote
6234,Otis,CAN Ballot Style 212,"DEM Golden, Jared F. (5471)",undervote,undervote,undervote,undervote
6236,Otis,CAN Ballot Style 212,"REP Poliquin, Bruce (5931)",undervote,undervote,undervote,undervote
6237,Otis,CAN Ballot Style 212,"DEM Golden, Jared F. (5471)","Hoar, William R.S.","Bond, Tiffany L.","REP Poliquin, Bruce",undervote
6238,Otis,CAN Ballot Style 212,"REP Poliquin, Bruce (5931)","Hoar, William R.S.","DEM Golden, Jared F.","Bond, Tiffany L.",undervote
6240,Otis,CAN Ballot Style 212,"REP Poliquin, Bruce (5931)",undervote,undervote,undervote,undervote
6245,Otis,CAN Ballot Style 212,"REP Poliquin, Bruce (5931)","DEM Golden, Jared F.",undervote,undervote,undervote
6246,Otis,CAN Ballot Style 212,"REP Poliquin, Bruce (5931)",undervote,undervote,undervote,undervote
6247,Otis,CAN Ballot Style 212,"REP Poliquin, Bruce (5931)",undervote,undervote,undervote,undervote
6248,Otis,CAN Ballot Style 212,"REP Poliquin, Bruce (5931)",undervote,undervote,undervote,undervote
6251,Otis,CAN Ballot Style 212,"REP Poliquin, Bruce (5931)",undervote,undervote,undervote,undervote
6254,Otis,CAN Ballot Style 212,"REP Poliquin, Bruce (5931)","Hoar, William R.S.","Bond, Tiffany L.",undervote,undervote
6256,Otis,CAN Ballot Style 212,"Hoar, William R.S.",undervote,undervote,undervote,undervote
6257,Otis,CAN Ballot Style 212,"DEM Golden, Jared F. (5471)","Hoar, William R.S.","Bond, Tiffany L.",undervote,undervote
6263,Otis,CAN Ballot Style 212,"DEM Golden, Jared F. (5471)",undervote,undervote,undervote,undervote
6264,Otis,CAN Ballot Style 212,"REP Poliquin, Bruce (5931)",undervote,undervote,undervote,undervote
6265,Otis,CAN Ballot Style 212,"REP Poliquin, Bruce (5931)",undervote,undervote,undervote,undervote
6268,Otis,CAN Ballot Style 212,"DEM Golden, Jared F. (5471)",undervote,undervote,undervote,undervote
6270,Otis,CAN Ballot Style 212,"REP Poliquin, Bruce (5931)",undervote,undervote,undervote,undervote
6271,Otis,CAN Ballot Style 212,"DEM Golden, Jared F. (5471)","Hoar, William R.S.","Hoar, William R.S.","Bond, Tiffany L.",undervote
6272,Otis,CAN Ballot Style 212,"REP Poliquin, Bruce (5931)","Bond, Tiffany L.","Hoar, William R.S.",undervote,undervote
6274,Otis,CAN Ballot Style 212,"REP Poliquin, Bruce (5931)",undervote,undervote,undervote,undervote
6276,Otis,CAN Ballot Style 212,"DEM Golden, Jared F. (5471)","Hoar, William R.S.","Bond, Tiffany L.","REP Poliquin, Bruce",undervote
6278,Otis,CAN Ballot Style 212,"REP Poliquin, Bruce (5931)",undervote,undervote,undervote,undervote
6279,Otis,CAN Ballot Style 212,"REP Poliquin, Bruce (5931)",undervote,undervote,undervote,undervote
6280,Otis,CAN Ballot Style 212,"REP Poliquin, Bruce (5931)",undervote,undervote,undervote,undervote
6281,Otis,CAN Ballot Style 212,"REP Poliquin, Bruce (5931)",undervote,undervote,undervote,undervote
6285,Otis,CAN Ballot Style 212,"REP Poliquin, Bruce (5931)",undervote,undervote,undervote,undervote
6286,Otis,CAN Ballot Style 212,"REP Poliquin, Bruce (5931)",undervote,undervote,undervote,undervote
6287,Otis,CAN Ballot Style 212,"REP Poliquin, Bruce (5931)",undervote,undervote,undervote,undervote
6289,Otis,CAN Ballot Style 212,"REP Poliquin, Bruce (5931)","Bond, Tiffany L.","DEM Golden, Jared F.","Hoar, William R.S.",undervote
6290,Otis,CAN Ballot Style 212,"REP Poliquin, Bruce (5931)",undervote,undervote,undervote,undervote
6293,Otis,CAN Ballot Style 212,"DEM Golden, Jared F. (5471)",undervote,undervote,undervote,undervote
6295,Otis,CAN Ballot Style 212,"REP Poliquin, Bruce (5931)",undervote,undervote,undervote,undervote
6297,Otis,CAN Ballot Style 212,"DEM Golden, Jared F. (5471)","Bond, Tiffany L.","Hoar, William R.S.","REP Poliquin, Bruce",undervote
6298,Otis,CAN Ballot Style 212,"DEM Golden, Jared F. (5471)","REP Poliquin, Bruce","Hoar, William R.S.","Bond, Tiffany L.",undervote
6299,Otis,CAN Ballot Style 212,"REP Poliquin, Bruce (5931)","DEM Golden, Jared F.",undervote,undervote,undervote
6301,Otis,CAN Ballot Style 212,"REP Poliquin, Bruce (5931)",undervote,undervote,undervote,undervote
6302,Otis,CAN Ballot Style 212,"REP Poliquin, Bruce (5931)",undervote,undervote,undervote,undervote
6303,Otis,CAN Ballot Style 212,"DEM Golden, Jared F. (5471)","Bond, Tiffany L.","Hoar, William R.S.","REP Poliquin, Bruce",undervote
6304,Otis,CAN Ballot Style 212,"Bond, Tiffany L.",undervote,undervote,undervote,undervote
6309,Van Buren,CAN Ballot Style 140,"DEM Golden, Jared F. (5471)",undervote,undervote,undervote,undervote
6310,Van Buren,CAN Ballot Style 140,"REP Poliquin, Bruce (5931)",undervote,undervote,undervote,undervote
6313,Van Buren,CAN Ballot Style 140,"DEM Golden, Jared F. (5471)","REP Poliquin, Bruce","Bond, Tiffany L.","Hoar, William R.S.",undervote
6315,Van Buren,CAN Ballot Style 140,"DEM Golden, Jared F. (5471)","Hoar, William R.S.","Bond, Tiffany L.","REP Poliquin, Bruce",undervote
6316,Van Buren,CAN Ballot Style 140,"DEM Golden, Jared F. (5471)",undervote,undervote,undervote,undervote
6318,Van Buren,CAN Ballot Style 140,"Hoar, William R.S.","Bond, Tiffany L.",undervote,"DEM Golden, Jared F.","REP Poliquin, Bruce"
6319,Van Buren,CAN Ballot Style 140,"DEM Golden, Jared F. (5471)",undervote,undervote,undervote,undervote
6320,Van Buren,CAN Ballot Style 140,"Bond, Tiffany L.","Bond, Tiffany L.","Bond, Tiffany L.",undervote,undervote
6322,Van Buren,CAN Ballot Style 140,"Bond, Tiffany L.","DEM Golden, Jared F.","Hoar, William R.S.","REP Poliquin, Bruce",undervote
6323,Van Buren,CAN Ballot Style 140,"REP Poliquin, Bruce (5931)","Hoar, William R.S.","Bond, Tiffany L.","DEM Golden, Jared F.",undervote
6324,Van Buren,CAN Ballot Style 140,"DEM Golden, Jared F. (5471)","REP Poliquin, Bruce","Bond, Tiffany L.","Hoar, William R.S.",undervote
6325,Van Buren,CAN Ballot Style 140,"REP Poliquin, Bruce (5931)","DEM Golden, Jared F.","Hoar, William R.S.",undervote,undervote
6326,Van Buren,CAN Ballot Style 140,"Bond, Tiffany L.",undervote,undervote,undervote,undervote
6327,Van Buren,CAN Ballot Style 140,"DEM Golden, Jared F. (5471)",undervote,undervote,undervote,undervote
6328,Van Buren,CAN Ballot Style 140,"REP Poliquin, Bruce (5931)","Hoar, William R.S.","Bond, Tiffany L.","DEM Golden, Jared F.",undervote
6329,Van Buren,CAN Ballot Style 140,"REP Poliquin, Bruce (5931)",undervote,undervote,undervote,undervote
6330,Van Buren,CAN Ballot Style 140,"DEM Golden, Jared F. (5471)",undervote,undervote,undervote,undervote
6331,Van Buren,CAN Ballot Style 140,"DEM Golden, Jared F. (5471)",undervote,undervote,undervote,undervote
6333,Van Buren,CAN Ballot Style 140,"DEM Golden, Jared F. (5471)",undervote,undervote,undervote,undervote
6334,Van Buren,CAN Ballot Style 140,"REP Poliquin, Bruce (5931)",undervote,undervote,undervote,undervote
6337,Van Buren,CAN Ballot Style 140,"DEM Golden, Jared F. (5471)","Bond, Tiffany L.","Hoar, William R.S.",undervote,undervote
6338,Van Buren,CAN Ballot Style 140,"REP Poliquin, Bruce (5931)","DEM Golden, Jared F.",undervote,undervote,undervote
6340,Van Buren,CAN Ballot Style 140,"REP Poliquin, Bruce (5931)","Hoar, William R.S.",undervote,undervote,undervote
6342,Van Buren,CAN Ballot Style 140,"DEM Golden, Jared F. (5471)",undervote,undervote,undervote,undervote
6347,Van Buren,CAN Ballot Style 140,"DEM Golden, Jared F. (5471)","REP Poliquin, Bruce","Hoar, William R.S.","Bond, Tiffany L.",undervote
6349,Van Buren,CAN Ballot Style 140,"DEM Golden, Jared F. (5471)",undervote,undervote,undervote,undervote
6350,Van Buren,CAN Ballot Style 140,"REP Poliquin, Bruce (5931)",undervote,undervote,undervote,undervote
6351,Van Buren,CAN Ballot Style 140,"DEM Golden, Jared F. (5471)",undervote,undervote,undervote,undervote
6352,Van Buren,CAN Ballot Style 140,"DEM Golden, Jared F. (5471)",undervote,undervote,undervote,undervote
6356,Van Buren,CAN Ballot Style 140,"DEM Golden, Jared F. (5471)","Hoar, William R.S.","Bond, Tiffany L.","REP Poliquin, Bruce",undervote
6357,Van Buren,CAN Ballot Style 140,"DEM Golden, Jared F. (5471)","Bond, Tiffany L.","Hoar, William R.S.",undervote,"REP Poliquin, Bruce"
6358,Van Buren,CAN Ballot Style 140,"Bond, Tiffany L.","Hoar, William R.S.","REP Poliquin, Bruce",undervote,undervote
6360,Van Buren,CAN Ballot Style 140,"REP Poliquin, Bruce (5931)",undervote,undervote,undervote,undervote
6361,Van Buren,CAN Ballot Style 140,"REP Poliquin, Bruce (5931)","Bond, Tiffany L.",undervote,overvote,undervote
6362,Van Buren,CAN Ballot Style 140,"DEM Golden, Jared F. (5471)",undervote,undervote,undervote,undervote
6363,Van Buren,CAN Ballot Style 140,"DEM Golden, Jared F. (5471)","Bond, Tiffany L.","Hoar, William R.S.",undervote,"REP Poliquin, Bruce"
6364,Van Buren,CAN Ballot Style 140,"DEM Golden, Jared F. (5471)",undervote,undervote,undervote,undervote
6365,Van Buren,CAN Ballot Style 140,"DEM Golden, Jared F. (5471)",undervote,undervote,undervote,undervote
6367,Van Buren,CAN Ballot Style 140,"REP Poliquin, Bruce (5931)",undervote,undervote,undervote,undervote
6368,Van Buren,CAN Ballot Style 140,"DEM Golden, Jared F. (5471)","Bond, Tiffany L.","REP Poliquin, Bruce","Hoar, William R.S.",undervote
6369,Van Buren,CAN Ballot Style 140,"DEM Golden, Jared F. (5471)","Hoar, William R.S.","Bond, Tiffany L.",undervote,"REP Poliquin, Bruce"
6370,Van Buren,CAN Ballot Style 140,"REP Poliquin, Bruce (5931)","DEM Golden, Jared F.","Hoar, William R.S.","Bond, Tiffany L.",undervote
6371,Van Buren,CAN Ballot Style 140,"DEM Golden, Jared F. (5471)",undervote,undervote,undervote,undervote
6373,Van Buren,CAN Ballot Style 140,"DEM Golden, Jared F. (5471)","Bond, Tiffany L.","Hoar, William R.S.","REP Poliquin, Bruce",undervote
6375,Van Buren,CAN Ballot Style 140,"DEM Golden, Jared F. (5471)",undervote,"DEM Golden, Jared F.",undervote,undervote
6376,Van Buren,CAN Ballot Style 140,"DEM Golden, Jared F. (5471)","Hoar, William R.S.","Bond, Tiffany L.","REP Poliquin, Bruce",undervote
6379,Van Buren,CAN Ballot Style 140,"REP Poliquin, Bruce (5931)",undervote,undervote,undervote,undervote
6385,Van Buren,CAN Ballot Style 140,"REP Poliquin, Bruce (5931)",undervote,undervote,undervote,undervote
6387,Van Buren,CAN Ballot Style 140,"REP Poliquin, Bruce (5931)",undervote,undervote,undervote,undervote
6388,Van Buren,CAN Ballot Style 140,"REP Poliquin, Bruce (5931)",undervote,undervote,undervote,undervote
6394,Van Buren,CAN Ballot Style 140,"DEM Golden, Jared F. (5471)","REP Poliquin, Bruce","Bond, Tiffany L.","Hoar, William R.S.",undervote
6395,Van Buren,CAN Ballot Style 140,"DEM Golden, Jared F. (5471)","DEM Golden, Jared F.","DEM Golden, Jared F.","DEM Golden, Jared F.","DEM Golden, Jared F."
6397,Van Buren,CAN Ballot Style 140,"REP Poliquin, Bruce (5931)",undervote,undervote,"DEM Golden, Jared F.",undervote
6398,Van Buren,CAN Ballot Style 140,"DEM Golden, Jared F. (5471)",undervote,undervote,undervote,undervote
6399,Van Buren,CAN Ballot Style 140,"DEM Golden, Jared F. (5471)",undervote,undervote,undervote,undervote
6400,Van Buren,CAN Ballot Style 140,"DEM Golden, Jared F. (5471)",undervote,undervote,undervote,undervote
6402,Van Buren,CAN Ballot Style 140,"DEM Golden, Jared F. (5471)",undervote,undervote,undervote,undervote
6405,Van Buren,CAN Ballot Style 140,"DEM Golden, Jared F. (5471)","Bond, Tiffany L.","Hoar, William R.S.",undervote,"REP Poliquin, Bruce"
6409,Van Buren,CAN Ballot Style 140,"DEM Golden, Jared F. (5471)","Bond, Tiffany L.",undervote,undervote,undervote
6410,Van Buren,CAN Ballot Style 140,"DEM Golden, Jared F. (5471)","Hoar, William R.S.","Bond, Tiffany L.","REP Poliquin, Bruce",undervote
6412,Van Buren,CAN Ballot Style 140,"DEM Golden, Jared F. (5471)","Bond, Tiffany L.","Hoar, William R.S.","REP Poliquin, Bruce",undervote
6415,Van Buren,CAN Ballot Style 140,"REP Poliquin, Bruce (5931)",undervote,undervote,undervote,undervote
6416,Van Buren,CAN Ballot Style 140,"DEM Golden, Jared F. (5471)","Bond, Tiffany L.",undervote,undervote,"REP Poliquin, Bruce"
6417,Van Buren,CAN Ballot Style 140,"DEM Golden, Jared F. (5471)","Hoar, William R.S.","Bond, Tiffany L.","REP Poliquin, Bruce",undervote
6418,Van Buren,CAN Ballot Style 140,"REP Poliquin, Bruce (5931)",undervote,undervote,undervote,undervote
6419,Van Buren,CAN Ballot Style 140,"DEM Golden, Jared F. (5471)",undervote,undervote,undervote,undervote
6420,Van Buren,CAN Ballot Style 140,"REP Poliquin, Bruce (5931)",undervote,undervote,undervote,undervote
6422,Van Buren,CAN Ballot Style 140,"DEM Golden, Jared F. (5471)",undervote,undervote,undervote,undervote
6433,Van Buren,CAN Ballot Style 140,"REP Poliquin, Bruce (5931)",undervote,undervote,undervote,undervote
6436,Van Buren,CAN Ballot Style 140,"DEM Golden, Jared F. (5471)","Bond, Tiffany L.","Hoar, William R.S.","REP Poliquin, Bruce",undervote
6437,Van Buren,CAN Ballot Style 140,"DEM Golden, Jared F. (5471)","Hoar, William R.S.",undervote,undervote,undervote
6441,Van Buren,CAN Ballot Style 140,"REP Poliquin, Bruce (5931)",undervote,undervote,undervote,undervote
6446,Van Buren,CAN Ballot Style 140,"REP Poliquin, Bruce (5931)",undervote,undervote,undervote,undervote
6451,Van Buren,CAN Ballot Style 140,"DEM Golden, Jared F. (5471)","Bond, Tiffany L.","Hoar, William R.S.","REP Poliquin, Bruce",undervote
6453,Van Buren,CAN Ballot Style 140,"REP Poliquin, Bruce (5931)",undervote,undervote,undervote,undervote
6458,Van Buren,CAN Ballot Style 140,undervote,undervote,undervote,undervote,undervote
6460,Van Buren,CAN Ballot Style 140,"DEM Golden, Jared F. (5471)",undervote,undervote,undervote,undervote
6463,Van Buren,CAN Ballot Style 140,"Bond, Tiffany L.",undervote,undervote,undervote,undervote
6464,Van Buren,CAN Ballot Style 140,"REP Poliquin, Bruce (5931)",undervote,undervote,undervote,undervote
6465,Van Buren,CAN Ballot Style 140,"REP Poliquin, Bruce (5931)",undervote,undervote,undervote,undervote
6466,Van Buren,CAN Ballot Style 140,"DEM Golden, Jared F. (5471)",undervote,undervote,undervote,undervote
