Cast Vote Record,Precinct,Ballot Style,Rep. to Congress District 2 1st Choice,Rep. to Congress District 2 2nd Choice,Rep. to Congress District 2 3rd Choice,Rep. to Congress District 2 4th Choice,Rep. to Congress District 2 5th Choice
8436,222111,UOCAVA,"DEM Golden, Jared F.","Bond, Tiffany L.","Hoar, William R.S.",undervote,undervote
8438,282111,UOCAVA,"DEM Golden, Jared F.","Bond, Tiffany L.","Hoar, William R.S.",undervote,undervote
8440,80111,UOCAVA,"Bond, Tiffany L.","DEM Golden, Jared F.","Hoar, William R.S.",undervote,undervote
8446,503111,UOCAVA,"Hoar, William R.S.","DEM Golden, Jared F.","Bond, Tiffany L.",undervote,undervote
8448,145111,UOCAVA,"DEM Golden, Jared F.","Bond, Tiffany L.","Hoar, William R.S.",undervote,undervote
8450,510114,UOCAVA,"DEM Golden, Jared F.",undervote,undervote,undervote,undervote
8452,503111,UOCAVA,"DEM Golden, Jared F.","Bond, Tiffany L.","Hoar, William R.S.","REP Poliquin, Bruce",undervote
8454,148111,UOCAVA,"REP Poliquin, Bruce","Hoar, William R.S.",undervote,undervote,undervote
8456,487212,UOCAVA,"DEM Golden, Jared F.",undervote,undervote,undervote,undervote
8458,111111,UOCAVA,"REP Poliquin, Bruce","Hoar, William R.S.","Bond, Tiffany L.","DEM Golden, Jared F.",undervote
8460,427111,UOCAVA,"DEM Golden, Jared F.","Hoar, William R.S.","Bond, Tiffany L.",undervote,undervote
8462,426111,UOCAVA,"DEM Golden, Jared F.","Hoar, William R.S.","Bond, Tiffany L.",undervote,undervote
8464,512111,UOCAVA,"DEM Golden, Jared F.",undervote,undervote,undervote,undervote
8466,514111,UOCAVA,"DEM Golden, Jared F.","Bond, Tiffany L.",undervote,undervote,undervote
8468,152111,UOCAVA,"DEM Golden, Jared F.","Bond, Tiffany L.",undervote,undervote,undervote
8470,296111,UOCAVA,"DEM Golden, Jared F.",undervote,undervote,undervote,undervote
8476,169111,UOCAVA,"DEM Golden, Jared F.","Bond, Tiffany L.","Hoar, William R.S.","REP Poliquin, Bruce",undervote
8478,139111,UOCAVA,"REP Poliquin, Bruce","Hoar, William R.S.","Bond, Tiffany L.","DEM Golden, Jared F.",undervote
8480,228111,UOCAVA,"DEM Golden, Jared F.","Hoar, William R.S.","Bond, Tiffany L.",undervote,undervote
8482,290111,UOCAVA,"Bond, Tiffany L.","DEM Golden, Jared F.","Hoar, William R.S.",undervote,undervote
8484,379111,UOCAVA,"DEM Golden, Jared F.",undervote,undervote,undervote,undervote
8488,514111,UOCAVA,"DEM Golden, Jared F.","Bond, Tiffany L.","Hoar, William R.S.","REP Poliquin, Bruce",undervote
8490,126111,UOCAVA,"DEM Golden, Jared F.","Bond, Tiffany L.","Hoar, William R.S.",undervote,undervote
8492,510111,UOCAVA,"DEM Golden, Jared F.","Bond, Tiffany L.","Hoar, William R.S.",undervote,undervote
8496,438111,UOCAVA,"DEM Golden, Jared F.","Hoar, William R.S.",undervote,undervote,undervote
8498,287111,UOCAVA,"REP Poliquin, Bruce",undervote,undervote,undervote,undervote
8500,126111,UOCAVA,"DEM Golden, Jared F.","Bond, Tiffany L.","Hoar, William R.S.",undervote,undervote
8502,502111,UOCAVA,"DEM Golden, Jared F.","Bond, Tiffany L.","REP Poliquin, Bruce",undervote,undervote
8506,507112,UOCAVA,"DEM Golden, Jared F.","Bond, Tiffany L.","Hoar, William R.S.",undervote,undervote
8508,131111,UOCAVA,"Bond, Tiffany L.","Hoar, William R.S.",undervote,undervote,undervote
8510,510111,UOCAVA,"DEM Golden, Jared F.","Bond, Tiffany L.","Hoar, William R.S.",undervote,undervote
8512,400111,UOCAVA,"DEM Golden, Jared F.","Hoar, William R.S.",undervote,undervote,undervote
8514,502411,UOCAVA,"DEM Golden, Jared F.",undervote,undervote,undervote,undervote
8516,510112,UOCAVA,"DEM Golden, Jared F.",undervote,undervote,undervote,undervote
8518,29111,UOCAVA,"DEM Golden, Jared F.","Bond, Tiffany L.",undervote,undervote,undervote
8522,511111,UOCAVA,"DEM Golden, Jared F.",undervote,undervote,undervote,undervote
8526,503111,UOCAVA,"DEM Golden, Jared F.",undervote,undervote,undervote,undervote
8528,174111,UOCAVA,"DEM Golden, Jared F.","Bond, Tiffany L.",undervote,undervote,undervote
8530,220111,UOCAVA,"DEM Golden, Jared F.","Bond, Tiffany L.",undervote,undervote,undervote
8536,8111,UOCAVA,"DEM Golden, Jared F.","Hoar, William R.S.","Bond, Tiffany L.","REP Poliquin, Bruce",undervote
8538,139111,UOCAVA,"DEM Golden, Jared F.","Bond, Tiffany L.","Hoar, William R.S.",undervote,undervote
8540,361111,UOCAVA,"DEM Golden, Jared F.","Bond, Tiffany L.",undervote,undervote,undervote
8542,142111,UOCAVA,"DEM Golden, Jared F.",undervote,undervote,undervote,undervote
8544,503111,UOCAVA,"DEM Golden, Jared F.",undervote,undervote,undervote,undervote
8546,175111,UOCAVA,"DEM Golden, Jared F.",undervote,undervote,undervote,undervote
8548,8111,UOCAVA,"DEM Golden, Jared F.","Bond, Tiffany L.","REP Poliquin, Bruce","Hoar, William R.S.",undervote
8550,126111,UOCAVA,"DEM Golden, Jared F.","Bond, Tiffany L.","Hoar, William R.S.",undervote,undervote
8554,246111,UOCAVA,"DEM Golden, Jared F.","Hoar, William R.S.",undervote,undervote,undervote
8556,389111,UOCAVA,"DEM Golden, Jared F.","Bond, Tiffany L.",undervote,undervote,undervote
8558,600111,UOCAVA,"Bond, Tiffany L.","DEM Golden, Jared F.",undervote,undervote,undervote
8564,149111,UOCAVA,"DEM Golden, Jared F.","Hoar, William R.S.","Bond, Tiffany L.",undervote,undervote
8568,127111,UOCAVA,"DEM Golden, Jared F.",undervote,undervote,undervote,undervote
8570,146111,UOCAVA,"DEM Golden, Jared F.","Bond, Tiffany L.","Hoar, William R.S.",undervote,"REP Poliquin, Bruce"
8572,153111,UOCAVA,"DEM Golden, Jared F.","Bond, Tiffany L.",undervote,undervote,undervote
8574,389111,UOCAVA,"DEM Golden, Jared F.","Bond, Tiffany L.","Hoar, William R.S.",undervote,undervote
8576,514111,UOCAVA,"Bond, Tiffany L.","DEM Golden, Jared F.","REP Poliquin, Bruce",undervote,undervote
8578,242111,UOCAVA,"DEM Golden, Jared F.",undervote,undervote,undervote,undervote
8580,282111,UOCAVA,"DEM Golden, Jared F.","Bond, Tiffany L.","Hoar, William R.S.",undervote,undervote
8582,154111,UOCAVA,"DEM Golden, Jared F.",undervote,undervote,undervote,undervote
8584,505111,UOCAVA,"DEM Golden, Jared F.","Bond, Tiffany L.",undervote,undervote,undervote
8586,108111,UOCAVA,"DEM Golden, Jared F.","Bond, Tiffany L.",undervote,undervote,undervote
8588,434111,UOCAVA,"REP Poliquin, Bruce","Hoar, William R.S.","DEM Golden, Jared F.","Bond, Tiffany L.",undervote
8590,514111,UOCAVA,"DEM Golden, Jared F.",undervote,undervote,undervote,undervote
8592,221111,UOCAVA,"DEM Golden, Jared F.",undervote,undervote,undervote,undervote
8594,139111,UOCAVA,"DEM Golden, Jared F.","Bond, Tiffany L.","Hoar, William R.S.","REP Poliquin, Bruce",undervote
8596,514131,UOCAVA,"Bond, Tiffany L.","DEM Golden, Jared F.","Hoar, William R.S.",undervote,undervote
8598,510113,UOCAVA,"DEM Golden, Jared F.",undervote,undervote,undervote,undervote
8600,242111,UOCAVA,"REP Poliquin, Bruce",undervote,undervote,undervote,undervote
8602,510113,UOCAVA,"DEM Golden, Jared F.","Bond, Tiffany L.","Hoar, William R.S.",undervote,undervote
8606,128111,UOCAVA,"DEM Golden, Jared F.","Hoar, William R.S.","Bond, Tiffany L.",undervote,undervote
8608,385111,UOCAVA,"DEM Golden, Jared F.",undervote,undervote,undervote,undervote
8612,488312,UOCAVA,"DEM Golden, Jared F.",undervote,undervote,undervote,undervote
8614,321111,UOCAVA,"DEM Golden, Jared F.","Bond, Tiffany L.","Hoar, William R.S.",undervote,undervote
8618,242111,UOCAVA,"DEM Golden, Jared F.",undervote,undervote,undervote,undervote
8624,503111,UOCAVA,"REP Poliquin, Bruce",undervote,undervote,undervote,undervote
8626,295111,UOCAVA,"DEM Golden, Jared F.","Bond, Tiffany L.","Hoar, William R.S.",undervote,undervote
8628,295111,UOCAVA,"DEM Golden, Jared F.","Bond, Tiffany L.","Hoar, William R.S.",undervote,undervote
8630,488413,UOCAVA,"DEM Golden, Jared F.","Bond, Tiffany L.","Hoar, William R.S.",undervote,undervote
8632,505111,UOCAVA,"DEM Golden, Jared F.","Hoar, William R.S.","Bond, Tiffany L.","REP Poliquin, Bruce",undervote
8634,295111,UOCAVA,"DEM Golden, Jared F.","Bond, Tiffany L.","Hoar, William R.S.",undervote,undervote
8636,512111,UOCAVA,"DEM Golden, Jared F.","Bond, Tiffany L.","Hoar, William R.S.","REP Poliquin, Bruce",undervote
8638,490111,UOCAVA,"DEM Golden, Jared F.","Hoar, William R.S.","Bond, Tiffany L.",undervote,undervote
8640,41111,UOCAVA,"DEM Golden, Jared F.","Bond, Tiffany L.","Hoar, William R.S.","REP Poliquin, Bruce",undervote
8642,503111,UOCAVA,"DEM Golden, Jared F.",undervote,undervote,undervote,undervote
8646,178111,UOCAVA,"DEM Golden, Jared F.","Bond, Tiffany L.","Hoar, William R.S.","REP Poliquin, Bruce",undervote
8648,488111,UOCAVA,"DEM Golden, Jared F.","Bond, Tiffany L.","Hoar, William R.S.",undervote,undervote
8650,126111,UOCAVA,"DEM Golden, Jared F.","Hoar, William R.S.","Bond, Tiffany L.",undervote,undervote
8652,127111,UOCAVA,"DEM Golden, Jared F.",undervote,undervote,undervote,undervote
8654,8111,UOCAVA,"DEM Golden, Jared F.","Hoar, William R.S.","Bond, Tiffany L.",undervote,undervote
8656,401111,UOCAVA,"DEM Golden, Jared F.","Bond, Tiffany L.",undervote,undervote,undervote
8662,292111,UOCAVA,"DEM Golden, Jared F.",undervote,undervote,undervote,undervote
8664,139111,UOCAVA,"DEM Golden, Jared F.","Bond, Tiffany L.","Hoar, William R.S.",undervote,undervote
8668,149111,UOCAVA,"DEM Golden, Jared F.",undervote,undervote,undervote,undervote
8672,126111,UOCAVA,"DEM Golden, Jared F.","Bond, Tiffany L.","Hoar, William R.S.","REP Poliquin, Bruce",undervote
8674,512111,UOCAVA,"REP Poliquin, Bruce","Hoar, William R.S.","DEM Golden, Jared F.","Bond, Tiffany L.",undervote
8678,18111,UOCAVA,"DEM Golden, Jared F.","Bond, Tiffany L.",undervote,undervote,undervote
8680,264111,UOCAVA,"DEM Golden, Jared F.","Hoar, William R.S.","Bond, Tiffany L.","REP Poliquin, Bruce",undervote
8682,128111,UOCAVA,"DEM Golden, Jared F.","Hoar, William R.S.","Bond, Tiffany L.",undervote,undervote
8684,379111,UOCAVA,"DEM Golden, Jared F.",undervote,undervote,undervote,undervote
8686,459111,UOCAVA,"DEM Golden, Jared F.","Bond, Tiffany L.","Hoar, William R.S.",undervote,undervote
8688,367111,UOCAVA,"REP Poliquin, Bruce","Hoar, William R.S.","Bond, Tiffany L.","DEM Golden, Jared F.",undervote
